flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,8,URO_TP_08,"Urinary symptoms (burning, discharge)?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,9,URO_TP_09,"Lump or mass in testicle?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,10,URO_TP_10,"Pain started after lifting or straining?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,11,URO_TP_11,"Groin bulge or hernia signs?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,12,URO_TP_12,"New sexual partner recently?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,13,URO_TP_13,"History of STI?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,14,URO_TP_14,"Age under 25?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,15,URO_TP_15,"Pain improves with elevation?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,16,URO_TP_16,"Symptoms worsening rapidly?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,17,URO_TP_17,"Pain for more than 6 hours?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,18,URO_TP_18,"History of undescended testicle?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_TESTICULAR_PAIN_V1,UROGYN,TESTICULAR_PAIN,CORE,19,URO_TP_19,"Previous episode of similar pain?",TRI,Y,,,,"Yes|No|Not sure",,Y
