flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,1,URO_VB_01,"Vaginal bleeding now?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,2,URO_VB_02,"Pregnant or could be pregnant?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,3,URO_VB_03,"Severe lower abdominal or pelvic pain?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,4,URO_VB_04,"Dizziness, fainting, or feeling like you might pass out?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,5,URO_VB_05,"Bleeding very heavy (soaking ≥1 pad/hour or large clots)?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,6,URO_VB_06,"Shoulder pain or severe one-sided pelvic pain?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,7,URO_VB_07,"Fever?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,8,URO_VB_08,"Bleeding after delivery within last 6 weeks (postpartum)?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,9,URO_VB_09,"Bleeding after sex?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,10,URO_VB_10,"On blood thinners (anticoagulants)?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,11,URO_VB_11,"Known fibroids or history of abnormal uterine bleeding?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,12,URO_VB_12,"Bleeding between periods (not a normal period)?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,13,URO_VB_13,"Age 45+ with new abnormal bleeding?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,14,URO_VB_14,"Severe headache or vision changes with bleeding?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,15,URO_VB_15,"Known bleeding disorder or easy bruising?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,16,URO_VB_16,"Pain or burning with urination?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,17,URO_VB_17,"Abnormal vaginal discharge (odor/itching)?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,18,URO_VB_18,"Symptoms worsening rapidly?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_VAGINAL_BLEEDING_V1,UROGYN,VAGINAL_BLEEDING,CORE,19,URO_VB_19,"Immunocompromised?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,1,URO_BR_01,"Breast pain?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,2,URO_BR_02,"Fever?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,3,URO_BR_03,"Redness or warmth on the breast skin?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,4,URO_BR_04,"Breast swelling or hard area/lump?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,5,URO_BR_05,"Pus or nipple discharge that is bloody?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,6,URO_BR_06,"Currently breastfeeding or within 6 weeks postpartum?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,7,URO_BR_07,"Severe pain out of proportion?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,8,URO_BR_08,"Rapidly worsening symptoms?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,9,URO_BR_09,"Skin dimpling, nipple retraction, or peau d'orange changes?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,10,URO_BR_10,"New lump that persists > 2 weeks?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,11,URO_BR_11,"Breast pain linked to menstrual cycle?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,12,URO_BR_12,"Recent trauma to breast?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,13,URO_BR_13,"History of breast cancer or high-risk family history?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,14,URO_BR_14,"Pregnant or could be pregnant?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,15,URO_BR_15,"Immunocompromised or diabetes?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,16,URO_BR_16,"Nipple cracking or skin breakdown?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,17,URO_BR_17,"Enlarged tender lymph nodes in armpit?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,18,URO_BR_18,"Symptoms worsening rapidly?",TRI,Y,,,,"Yes|No|Not sure",,Y
UROGYN_BREAST_PAIN_V1,UROGYN,BREAST_PAIN,CORE,19,URO_BR_19,"Severe weakness or confusion?",TRI,Y,,,,"Yes|No|Not sure",,Y
