Diagnosis ID,System,Chief Complaint,Diagnosis,Cluster,Subcluster,Mechanism / Etiology,Severity Level,Diagnostic Criteria,Red Flag?,Red Flag Criteria,Key Modifiers,Secondary Questions,Exam Findings,Testing – Imaging,Testing – Labs,Disposition,Disposition Rationale,Default Triage Route,ER Threshold,UC Threshold,PC Threshold,Follow-up Plan,Treatment – First Line,Treatment – Alternatives,Supportive Care,Pediatric Variant,Modifier Rule,Cluster Link,Medication Link,Logic Notes,Dx_Key
ORTHO_SHLD_DISLOC_ANT_01,ORTHO,SHOULDER_PAIN,Anterior shoulder dislocation,Shoulder,Dislocation,Traumatic instability,High,Deformity + loss of contour + limited ROM,Y,"Deformity, neurovascular compromise",anticoagulant_use,Trauma mechanism,Visible deformity,X-ray,,"ED/UC",Needs reduction,ED,"UC if stable",UC,PC if resolved,Ortho follow-up,,"",Sling/ice,,Yes,,"",Shoulder cluster,"ROW_KEY=ORTHO_SHLD_DISLOC_ANT_01|EDReferral","Check axillary nerve",ORTHO_SHLD_DISLOC_ANT
ORTHO_SHLD_DISLOC_POST_01,ORTHO,SHOULDER_PAIN,Posterior shoulder dislocation,Shoulder,Dislocation,Seizure/electric shock,High,Limited external rotation + posterior fullness,Y,"Seizure/electric shock, locked shoulder",,Seizure history,Limited ER,X-ray/CT,,"ED",Often missed; urgent reduction,ED,ED,ED,,Immediate ED evaluation,,"",,,Yes,,"",Shoulder cluster,"ROW_KEY=ORTHO_SHLD_DISLOC_POST_01|EDReferral","High miss rate",ORTHO_SHLD_DISLOC_POST
ORTHO_SHLD_RC_TEND_01,ORTHO,SHOULDER_PAIN,Rotator cuff tendinopathy,Shoulder,Tendinopathy,Overuse/degeneration,Low,Pain with overhead activity; preserved strength,N,,,"Overhead use, night pain",Painful arc,,"",PC,Supportive,PC,,"UC if severe",PC,PT follow-up,,"",Ice/activity mod,,Yes,,"",Shoulder cluster,"ROW_KEY=ORTHO_SHLD_RC_TEND_01|NSAIDs","Differentiate from tear",ORTHO_SHLD_RC_TEND
ORTHO_SHLD_RC_TEAR_01,ORTHO,SHOULDER_PAIN,Rotator cuff tear,Shoulder,Tear,Traumatic or degenerative,Moderate,Weakness with abduction/external rotation,N,,,"Sudden pain + weakness",Weakness,US/MRI,,"UC",Needs imaging,UC,"ED if trauma",UC,PC if chronic,Ortho referral,,"",Sling/ice,,Yes,,"",Shoulder cluster,"ROW_KEY=ORTHO_SHLD_RC_TEAR_01|NSAIDs","Traumatic tears escalate",ORTHO_SHLD_RC_TEAR
ORTHO_SHLD_ADH_CAPS_01,ORTHO,SHOULDER_PAIN,Adhesive capsulitis (Frozen shoulder),Shoulder,Stiffness,Capsular fibrosis,Low,Global loss of active & passive ROM,N,,diabetes,Gradual onset,Global ROM loss,,"",PC,Outpatient,PC,,,PC,PT follow-up,,"",Heat/stretching,,Yes,,"",Shoulder cluster,,"Common in diabetes",ORTHO_SHLD_ADH
ORTHO_SHLD_BICEP_TEND_01,ORTHO,SHOULDER_PAIN,Biceps tendonitis / SLAP lesion,Shoulder,Tendon/Labrum,Overuse/degeneration,Low,Anterior shoulder pain with lifting,N,,,"Overhead lifting",Bicipital groove tenderness,,"",PC,Supportive,PC,,,PC,PT follow-up,,"",Ice/activity mod,,Yes,,"",Shoulder cluster,,"SLAP if athlete",ORTHO_SHLD_BICEP
ORTHO_SHLD_BICEP_RUPT_01,ORTHO,SHOULDER_PAIN,Biceps tendon rupture,Shoulder,Tendon rupture,Acute rupture,Moderate,Popeye deformity + sudden pain,N,,,"Sudden pop",Popeye sign,,"",UC,Needs eval,UC,,,PC,Ortho referral,,"",Ice/sling,,Yes,,"",Shoulder cluster,,"Cosmetic vs functional",ORTHO_SHLD_BICEP_RUPT
ORTHO_SHLD_AC_SEP_01,ORTHO,SHOULDER_PAIN,AC joint separation,Shoulder,AC joint,Trauma,Moderate,Step-off at AC joint,N,,,"Fall onto shoulder",AC tenderness,X-ray,,"UC",Often non-op,UC,"ED if severe",UC,PC if mild,Ortho follow-up,,"",Sling/ice,,Yes,,"",Shoulder cluster,,"Grade matters",ORTHO_SHLD_AC_SEP
ORTHO_SHLD_AC_ARTH_01,ORTHO,SHOULDER_PAIN,AC joint arthritis,Shoulder,Degenerative,OA,Low,Localized AC pain,N,,,"Chronic pain",AC joint tenderness,,"",PC,Outpatient,PC,,,PC,PT/NSAIDs,,"",Ice/activity mod,,Yes,,"",Shoulder cluster,,"Common in weightlifters",ORTHO_SHLD_AC_ARTH
ORTHO_SHLD_CALC_TEND_01,ORTHO,SHOULDER_PAIN,Calcific tendonitis,Shoulder,Tendinopathy,Calcium deposition,Moderate,Severe acute pain without trauma,N,,,"Sudden severe pain",Severe pain,X-ray,,"UC",Pain control needed,UC,,,PC,Follow-up if persists,,"",Ice/NSAIDs,,Yes,,"",Shoulder cluster,,"Can mimic infection",ORTHO_SHLD_CALC
ORTHO_SHLD_SEPTIC_01,ORTHO,SHOULDER_PAIN,Septic shoulder joint,Shoulder,Infection,Bacterial arthritis,High,Fever + red hot shoulder + severe pain,Y,"Fever + hot swollen joint",immunocompromised,IVDU; rapid onset,Hot swollen joint,,"CBC/CRP",ED,Joint-threatening,ED,ED,ED,,Immediate ED eval,,"",,,Yes,,"",Shoulder red flags,"ROW_KEY=ORTHO_SHLD_SEPTIC_01|EDReferral","Time critical",ORTHO_SHLD_SEPTIC
ORTHO_SHLD_TOS_01,ORTHO,SHOULDER_PAIN,Thoracic outlet syndrome,Shoulder,Neurovascular,Compression,Low,Arm pain/numbness with overhead use,N,,,"Overhead symptoms",Positional symptoms,,"",PC,Outpatient,PC,,,PC,Vascular/PM&R referral,,"",Posture/PT,,Yes,,"",Shoulder cluster,,"Rule out vascular compromise",ORTHO_SHLD_TOS
ORTHO_SHLD_CLAV_FX_01,ORTHO,SHOULDER_PAIN,Clavicle fracture,Shoulder,Fracture,Trauma,Moderate,Pain/deformity over clavicle after fall,N,,anticoagulant_use,Fall onto shoulder/FOOSH,Clavicle tenderness,X-ray,,"UC",Needs imaging,UC,"ED if open/tenting",UC,PC if mild,Ortho follow-up,,"",Sling/ice,,Yes,,"",Shoulder cluster,,"Check for skin tenting",ORTHO_SHLD_CLAV_FX
ORTHO_SHLD_PROX_HUM_FX_01,ORTHO,SHOULDER_PAIN,Proximal humerus fracture,Shoulder,Fracture,Trauma/osteoporosis,Moderate,Shoulder pain + swelling after fall,N,,osteoporosis,Fall; unable to lift arm,Swelling/ecchymosis,X-ray,,"UC",Needs imaging,UC,"ED if displaced",UC,PC if non-displaced,Ortho follow-up,,"",Sling/ice,,Yes,,"",Shoulder cluster,,"Common in elderly falls",ORTHO_SHLD_PROX_HUM_FX
ORTHO_SHLD_LABRAL_01,ORTHO,SHOULDER_PAIN,Labral tear (Bankart/SLAP),Shoulder,Labrum,Instability/overuse,Low,Clicking/catching with overhead motion,N,,,"Instability; throwing sports",Apprehension test,MRI arthrogram,,"PC",Outpatient,PC,,"UC if locked",PC,Sports med/ortho referral,,"",Activity mod,,Yes,,"",Shoulder cluster,,"Common in athletes",ORTHO_SHLD_LABRAL
