flow_id,system,chief_complaint,module,order,question_id,question_text,answer_type,required,min,max,choices,help_text,active
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,1,ENV_BITE_01,"Was there a bite or sting?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,2,ENV_BITE_02,"Trouble breathing or wheezing?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,3,ENV_BITE_03,"Throat closing sensation or tongue/lip swelling?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,4,ENV_BITE_04,"Dizziness or fainting?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,5,ENV_BITE_05,"Hives (raised itchy welts) or widespread rash?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,6,ENV_BITE_06,"Facial swelling around eyes/lips?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,7,ENV_BITE_07,"Vomiting or severe diarrhea with the reaction?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,8,ENV_BITE_08,"Symptoms started within 2 hours of exposure?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,9,ENV_BITE_09,"Known severe allergy or prior anaphylaxis?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,10,ENV_BITE_10,"Location is red, hot, very swollen, or spreading rapidly?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,11,ENV_BITE_11,"Pus/drainage or open wound at the site?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,12,ENV_BITE_12,"Severe pain out of proportion to appearance?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,13,ENV_BITE_13,"Tick bite or possible tick exposure?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,14,ENV_BITE_14,"Bullseye or expanding ring rash?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,15,ENV_BITE_15,"Fever?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,16,ENV_BITE_16,"Immunocompromised?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,17,ENV_BITE_17,"Pregnant or could be pregnant?",TRI,Y,,,,"Yes|No|Not sure",,Y
ENV_BITE_STING_V1,ENVIRONMENTAL,BITE_STING,CORE,18,ENV_BITE_18,"Symptoms worsening rapidly?",TRI,Y,,,,"Yes|No|Not sure",,Y
